Rk,Player,Age
348,Jimmy Hayes\hayesji01,28
349,Kevin Hayes\hayeske01,25
350,Dillon Heatherington\heathdi01,22
351,Victor Hedman\hedmavi01,27
352,Tim Heed\heedti01,27
353,Danton Heinen\heineda01,22
354,Darren Helm\helmda01,31
355,Ales Hemsky\hemskal01,34
356,Matt Hendricks\hendrma01,36
357,Adam Henrique\henriad01,27
357,Adam Henrique\henriad01,27
357,Adam Henrique\henriad01,27
358,Tomas Hertl\hertlto01,24
359,Joe Hicketts\hickejo01,21
360,Thomas Hickey\hicketh01,28
361,Matthew Highmore\highmma01,21
362,Blake Hillman\hillmbl01,22
363,Vinnie Hinostroza\hinosvi01,23
364,Nico Hischier\hischni01,19
365,Niklas Hjalmarsson\hjalmni01,30
366,Joshua Ho-Sang\hosanjo01,22
367,Mike Hoffman\hoffmmi02,28
368,Nick Holden\holdeni01,30
368,Nick Holden\holdeni01,30
368,Nick Holden\holdeni01,30
369,Justin Holl\hollju01,26
370,Peter Holland\hollape01,27
371,Philip Holm\holmph01,26
372,Korbinian Holzer\holzeko01,29
373,Julius Honka\honkaju01,22
374,Patric Hornqvist\hornqpa01,31
375,Bo Horvat\horvabo01,22
376,Marek Hrivik\hrivima01,26
377,Jonathan Huberdeau\huberjo01,24
378,Charles Hudon\hudonch01,23
379,Brad Hunt\huntbr01,29
380,Dryden Hunt\huntdr01,22
381,Matt Hunwick\hunwima01,32
382,Ben Hutton\huttobe01,24
383,Tomas Hyka\hykato01,24
384,Zach Hyman\hymanza01,25
385,Alex Iafallo\iafalal01,24
386,Matt Irwin\irwinma01,30
387,Jaromir Jagr\jagrja01,45
388,Mark Jankowski\jankoma01,23
389,Mattias Janmark\janmama02,25
390,Calle Jarnkrok\jarnkca01,26
391,Christian Jaros\jarosch01,21
392,Dmitrij Jaskin\jaskidm01,24
393,Boone Jenner\jennebo01,24
394,Nick Jensen\jenseni02,27
395,Jakub Jerabek\jerabja01,26
395,Jakub Jerabek\jerabja01,26
395,Jakub Jerabek\jerabja01,26
396,Ryan Johansen\johanry01,25
397,Marcus Johansson\johanma03,27
398,Stephen Johns\johnsst03,25
399,Erik Johnson\johnser01,29
400,Jack Johnson\johnsja02,31
401,Tyler Johnson\johnsty01,27
402,Andreas Johnsson\johnsan01,23
403,Ross Johnston\johnsro02,23
404,Jussi Jokinen\jokinju01,34
404,Jussi Jokinen\jokinju01,34
404,Jussi Jokinen\jokinju01,34
404,Jussi Jokinen\jokinju01,34
404,Jussi Jokinen\jokinju01,34
405,Seth Jones\jonesse01,23
406,Josh Jooris\joorijo01,27
406,Josh Jooris\joorijo01,27
406,Josh Jooris\joorijo01,27
407,Jacob Josefson\josefja01,26
408,Roman Josi\josiro01,27
409,Tyson Jost\jostty01,19
410,Tomas Jurco\jurcoto01,25
411,Noah Juulsen\juulsno01,20
412,Nazem Kadri\kadrina01,27
413,Vladislav Kamenev\kamenvl01,21
414,David Kampf\kampfda01,23
415,Steven Kampfer\kampfst01,29
416,Evander Kane\kaneev01,26
416,Evander Kane\kaneev01,26
416,Evander Kane\kaneev01,26
417,Patrick Kane\kanepa01,29
418,Kasperi Kapanen\kapanka01,21
